0:00:00.096459 {Acceleration: {Time: 34, Status: 0, Value: (-0.005859375,-0.0078125,0.0)},Gyroscope: {Time: 42, Status: 3, Value: (0.046875,-0.0625,-0.078125)},Magnetic: {Time: 713124, Status: 2, Value: (0.625,-24.375,-36.0)},Gravity: {Time: 39, Status: 3, Value: (0.1953125,0.6015625,9.8515625)}, Rotation: {Time: 37, Status: 0, Value: (-0.01025390625,-0.0301513671875,-0.99951171875, 0.0028076171875)}}
0:00:00.196524 {Acceleration: {Time: 129, Status: 0, Value: (-0.00390625,-0.001953125,0.0)},Gyroscope: {Time: 138, Status: 3, Value: (-0.0390625,0.01953125,0.0)},Magnetic: {Time: 75, Status: 2, Value: (-0.75,-24.75,-36.9375)},Gravity: {Time: 134, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 131, Status: 0, Value: (-0.01025390625,-0.03021240234375,-0.99951171875, 0.0028076171875)}}
0:00:00.286976 {Acceleration: {Time: 229, Status: 0, Value: (-0.005859375,0.001953125,0.0)},Gyroscope: {Time: 238, Status: 3, Value: (0.0,-0.01953125,0.0)},Magnetic: {Time: 201, Status: 2, Value: (0.125,-22.9375,-36.375)},Gravity: {Time: 235, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 231, Status: 0, Value: (-0.01025390625,-0.03021240234375,-0.99951171875, 0.0028076171875)}}
0:00:00.407636 {Acceleration: {Time: 360, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 321, Status: 3, Value: (0.0390625,0.01953125,0.0)},Magnetic: {Time: 324, Status: 2, Value: (-0.125,-22.5,-37.125)},Gravity: {Time: 317, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 355, Status: 0, Value: (-0.01025390625,-0.03021240234375,-0.99951171875, 0.0028076171875)}}
0:00:00.481215 {Acceleration: {Time: 423, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 419, Status: 3, Value: (0.03125,-0.01953125,0.0)},Magnetic: {Time: 393, Status: 2, Value: (0.0,-23.25,-37.0625)},Gravity: {Time: 430, Status: 3, Value: (0.2109375,0.59375,9.8515625)}, Rotation: {Time: 425, Status: 0, Value: (-0.01025390625,-0.0301513671875,-0.99951171875, 0.0028076171875)}}
0:00:00.575207 {Acceleration: {Time: 520, Status: 0, Value: (0.0,-0.00390625,-0.001953125)},Gyroscope: {Time: 529, Status: 3, Value: (0.03125,-0.01953125,0.0)},Magnetic: {Time: 463, Status: 2, Value: (-1.3125,-25.6875,-36.875)},Gravity: {Time: 526, Status: 3, Value: (0.2109375,0.59375,9.8515625)}, Rotation: {Time: 522, Status: 0, Value: (-0.01025390625,-0.0301513671875,-0.99951171875, 0.0028076171875)}}
0:00:00.699131 {Acceleration: {Time: 619, Status: 0, Value: (-0.00390625,-0.00390625,0.0)},Gyroscope: {Time: 611, Status: 3, Value: (-0.0078125,-0.01953125,0.07421875)},Magnetic: {Time: 614, Status: 2, Value: (1.0,-22.9375,-36.6875)},Gravity: {Time: 608, Status: 3, Value: (0.2109375,0.59375,9.8515625)}, Rotation: {Time: 621, Status: 0, Value: (-0.01025390625,-0.0301513671875,-0.99951171875, 0.00274658203125)}}
0:00:00.763130 {Acceleration: {Time: 709, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 718, Status: 3, Value: (0.0,0.05859375,-0.0078125)},Magnetic: {Time: 655, Status: 2, Value: (0.4375,-22.875,-35.75)},Gravity: {Time: 715, Status: 3, Value: (0.203125,0.59375,9.859375)}, Rotation: {Time: 711, Status: 0, Value: (-0.01025390625,-0.0301513671875,-0.99951171875, 0.0028076171875)}}
0:00:00.875135 {Acceleration: {Time: 816, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 789, Status: 3, Value: (-0.0078125,-0.01953125,-0.046875)},Magnetic: {Time: 803, Status: 2, Value: (0.0,-23.1875,-37.6875)},Gravity: {Time: 786, Status: 3, Value: (0.2109375,0.59375,9.859375)}, Rotation: {Time: 819, Status: 0, Value: (-0.01031494140625,-0.03021240234375,-0.99951171875, 0.0028076171875)}}
0:00:00.981360 {Acceleration: {Time: 911, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 921, Status: 3, Value: (0.0390625,0.05859375,0.0)},Magnetic: {Time: 856, Status: 2, Value: (0.25,-22.375,-37.125)},Gravity: {Time: 918, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 913, Status: 0, Value: (-0.0103759765625,-0.0301513671875,-0.99951171875, 0.0028076171875)}}
0:00:01.039052 {Acceleration: {Time: 991, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 979, Status: 3, Value: (0.0,-0.01953125,0.0)},Magnetic: {Time: 954, Status: 2, Value: (-0.625,-23.1875,-36.375)},Gravity: {Time: 976, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 986, Status: 0, Value: (-0.01031494140625,-0.0301513671875,-0.99951171875, 0.00274658203125)}}
