0:00:00.102552 {Acceleration: {Time: 66, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 15, Status: 3, Value: (-0.0390625,-0.0078125,-0.00390625)},Magnetic: {Time: 30, Status: 0, Value: (-3.625,1.0625,-33.5625)},Gravity: {Time: 13, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 63, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:00.198145 {Acceleration: {Time: 160, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 123, Status: 3, Value: (0.0,-0.0078125,-0.00390625)},Magnetic: {Time: 99, Status: 0, Value: (-3.25,2.5625,-33.5625)},Gravity: {Time: 120, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 163, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:00.261738 {Acceleration: {Time: 234, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 223, Status: 3, Value: (0.0,0.03125,-0.00390625)},Magnetic: {Time: 198, Status: 0, Value: (-4.75,3.25,-33.9375)},Gravity: {Time: 220, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 230, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:00.356308 {Acceleration: {Time: 325, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 290, Status: 3, Value: (0.0,-0.0078125,-0.00390625)},Magnetic: {Time: 293, Status: 0, Value: (-3.25,4.375,-33.9375)},Gravity: {Time: 275, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 319, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:00.451921 {Acceleration: {Time: 426, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 386, Status: 3, Value: (0.0390625,-0.0078125,-0.00390625)},Magnetic: {Time: 388, Status: 0, Value: (-3.25,2.5625,-34.375)},Gravity: {Time: 382, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 421, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:00.563494 {Acceleration: {Time: 515, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 524, Status: 3, Value: (-0.0078125,-0.0078125,-0.00390625)},Magnetic: {Time: 459, Status: 0, Value: (-3.625,2.1875,-33.125)},Gravity: {Time: 521, Status: 3, Value: (0.3515625,-0.453125,9.734375)}, Rotation: {Time: 517, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:00.659540 {Acceleration: {Time: 616, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 625, Status: 3, Value: (-0.0078125,-0.04296875,-0.04296875)},Magnetic: {Time: 587, Status: 0, Value: (-3.625,3.625,-33.125)},Gravity: {Time: 622, Status: 3, Value: (0.3515625,-0.453125,9.734375)}, Rotation: {Time: 618, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:00.723553 {Acceleration: {Time: 688, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 695, Status: 3, Value: (0.0,-0.0078125,-0.00390625)},Magnetic: {Time: 655, Status: 0, Value: (-4.0,3.25,-34.375)},Gravity: {Time: 693, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 690, Status: 0, Value: (-0.02337646484375,-0.0177001953125,-0.00244140625, 0.99957275390625)}}
0:00:00.833876 {Acceleration: {Time: 795, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 755, Status: 3, Value: (0.0,-0.0078125,0.03515625)},Magnetic: {Time: 758, Status: 0, Value: (-2.875,2.875,-34.375)},Gravity: {Time: 797, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 788, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:00.929171 {Acceleration: {Time: 886, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 895, Status: 3, Value: (0.0,-0.0078125,-0.00390625)},Magnetic: {Time: 830, Status: 0, Value: (-3.625,2.5625,-35.125)},Gravity: {Time: 892, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 888, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
0:00:01.023251 {Acceleration: {Time: 986, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 978, Status: 3, Value: (0.0,0.03125,0.07421875)},Magnetic: {Time: 981, Status: 0, Value: (-4.375,2.875,-33.125)},Gravity: {Time: 975, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 988, Status: 0, Value: (-0.02337646484375,-0.01763916015625,-0.00244140625, 0.99957275390625)}}
