0:00:00.046973 {Acceleration: {Time: 3675679, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3675685, Status: 3, Value: (-0.0859375,-0.03515625,0.08203125)},Magnetic: {Time: 3675688, Status: 2, Value: (23.25,13.3125,-32.375)},Gravity: {Time: 3675683, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3675691, Status: 2, Value: (0.005859375,-0.0291748046875,0.51263427734375, 0.85809326171875)}}
0:00:00.140632 {Acceleration: {Time: 77, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 86, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 23, Status: 2, Value: (23.875,12.6875,-31.5625)},Gravity: {Time: 83, Status: 3, Value: (0.546875,-0.203125,9.7265625)}, Rotation: {Time: 79, Status: 2, Value: (0.005859375,-0.0291748046875,0.51263427734375, 0.85809326171875)}}
0:00:00.234474 {Acceleration: {Time: 174, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 168, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 171, Status: 2, Value: (23.4375,15.0625,-32.25)},Gravity: {Time: 164, Status: 3, Value: (0.546875,-0.203125,9.7265625)}, Rotation: {Time: 177, Status: 2, Value: (0.005859375,-0.0291748046875,0.51263427734375, 0.85809326171875)}}
0:00:00.328320 {Acceleration: {Time: 268, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 244, Status: 3, Value: (-0.04296875,0.00390625,0.00390625)},Magnetic: {Time: 247, Status: 2, Value: (22.625,13.3125,-31.125)},Gravity: {Time: 242, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 261, Status: 2, Value: (0.00579833984375,-0.0291748046875,0.51263427734375, 0.85809326171875)}}
0:00:00.421979 {Acceleration: {Time: 359, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 328, Status: 3, Value: (-0.01171875,-0.03515625,0.00390625)},Magnetic: {Time: 331, Status: 2, Value: (25.0,13.875,-32.1875)},Gravity: {Time: 365, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 361, Status: 2, Value: (0.00579833984375,-0.02923583984375,0.51263427734375, 0.85809326171875)}}
0:00:00.515782 {Acceleration: {Time: 462, Status: 0, Value: (0.0,0.0,-0.00390625)},Gyroscope: {Time: 424, Status: 3, Value: (-0.01171875,0.04296875,0.00390625)},Magnetic: {Time: 428, Status: 2, Value: (24.6875,14.125,-32.1875)},Gravity: {Time: 421, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 457, Status: 2, Value: (0.00579833984375,-0.02923583984375,0.51263427734375, 0.85809326171875)}}
0:00:00.625146 {Acceleration: {Time: 548, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 557, Status: 3, Value: (-0.01171875,0.00390625,0.04296875)},Magnetic: {Time: 495, Status: 2, Value: (22.9375,14.25,-32.75)},Gravity: {Time: 554, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 551, Status: 2, Value: (0.00579833984375,-0.02923583984375,0.51263427734375, 0.85809326171875)}}
0:00:00.718850 {Acceleration: {Time: 651, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 557, Status: 3, Value: (-0.01171875,0.00390625,0.04296875)},Magnetic: {Time: 592, Status: 2, Value: (23.9375,15.0,-33.8125)},Gravity: {Time: 554, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 653, Status: 2, Value: (0.00579833984375,-0.02923583984375,0.5126953125, 0.85809326171875)}}
0:00:00.812655 {Acceleration: {Time: 746, Status: 0, Value: (-0.001953125,0.005859375,0.0)},Gyroscope: {Time: 710, Status: 3, Value: (-0.01171875,0.00390625,-0.03515625)},Magnetic: {Time: 688, Status: 2, Value: (23.9375,15.0,-33.8125)},Gravity: {Time: 707, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 750, Status: 2, Value: (0.00579833984375,-0.02923583984375,0.5126953125, 0.8580322265625)}}
0:00:00.906308 {Acceleration: {Time: 839, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 848, Status: 3, Value: (-0.01171875,-0.03515625,-0.04296875)},Magnetic: {Time: 783, Status: 2, Value: (24.0,15.0625,-33.4375)},Gravity: {Time: 845, Status: 3, Value: (0.546875,-0.1953125,9.734375)}, Rotation: {Time: 842, Status: 2, Value: (0.0057373046875,-0.029296875,0.51263427734375, 0.85809326171875)}}
0:00:01.000192 {Acceleration: {Time: 938, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 931, Status: 3, Value: (0.02734375,0.01171875,-0.00390625)},Magnetic: {Time: 934, Status: 2, Value: (22.4375,12.8125,-32.875)},Gravity: {Time: 927, Status: 3, Value: (0.546875,-0.203125,9.734375)}, Rotation: {Time: 941, Status: 2, Value: (0.00567626953125,-0.029296875,0.51263427734375, 0.85809326171875)}}
0:00:01.093859 {Acceleration: {Time: 1036, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1000, Status: 3, Value: (-0.01171875,0.00390625,-0.00390625)},Magnetic: {Time: 1002, Status: 2, Value: (23.6875,14.4375,-31.375)},Gravity: {Time: 997, Status: 3, Value: (0.546875,-0.1953125,9.734375)}, Rotation: {Time: 1033, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.51263427734375, 0.85809326171875)}}
0:00:01.171980 {Acceleration: {Time: 1104, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1068, Status: 3, Value: (-0.01171875,0.00390625,-0.00390625)},Magnetic: {Time: 1002, Status: 2, Value: (23.6875,14.4375,-31.375)},Gravity: {Time: 1106, Status: 3, Value: (0.546875,-0.1953125,9.734375)}, Rotation: {Time: 1101, Status: 2, Value: (0.0057373046875,-0.029296875,0.51263427734375, 0.85809326171875)}}
0:00:01.265775 {Acceleration: {Time: 1199, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1134, Status: 3, Value: (-0.01171875,0.00390625,-0.04296875)},Magnetic: {Time: 1141, Status: 2, Value: (23.3125,16.25,-30.875)},Gravity: {Time: 1201, Status: 3, Value: (0.546875,-0.1875,9.734375)}, Rotation: {Time: 1196, Status: 2, Value: (0.0057373046875,-0.029296875,0.51263427734375, 0.85809326171875)}}
0:00:01.359379 {Acceleration: {Time: 1297, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1259, Status: 3, Value: (0.02734375,-0.00390625,-0.00390625)},Magnetic: {Time: 1262, Status: 2, Value: (24.0,14.0625,-31.8125)},Gravity: {Time: 1256, Status: 3, Value: (0.546875,-0.1875,9.734375)}, Rotation: {Time: 1293, Status: 2, Value: (0.0057373046875,-0.029296875,0.5125732421875, 0.85809326171875)}}
0:00:01.453328 {Acceleration: {Time: 1386, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1395, Status: 3, Value: (0.02734375,-0.00390625,-0.00390625)},Magnetic: {Time: 1357, Status: 2, Value: (23.5625,13.0625,-31.0625)},Gravity: {Time: 1393, Status: 3, Value: (0.546875,-0.1875,9.734375)}, Rotation: {Time: 1390, Status: 2, Value: (0.0057373046875,-0.029296875,0.5125732421875, 0.85809326171875)}}
0:00:01.547046 {Acceleration: {Time: 1489, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1481, Status: 3, Value: (-0.01171875,-0.00390625,0.00390625)},Magnetic: {Time: 1484, Status: 2, Value: (22.8125,13.8125,-34.0625)},Gravity: {Time: 1477, Status: 3, Value: (0.546875,-0.1875,9.7265625)}, Rotation: {Time: 1492, Status: 2, Value: (0.0057373046875,-0.029296875,0.5125732421875, 0.858154296875)}}
0:00:01.656256 {Acceleration: {Time: 1587, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1551, Status: 3, Value: (-0.01171875,-0.00390625,0.00390625)},Magnetic: {Time: 1525, Status: 2, Value: (23.3125,14.3125,-32.6875)},Gravity: {Time: 1591, Status: 3, Value: (0.546875,-0.1875,9.7265625)}, Rotation: {Time: 1583, Status: 2, Value: (0.0057373046875,-0.029296875,0.5125732421875, 0.858154296875)}}
0:00:01.750147 {Acceleration: {Time: 1688, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1675, Status: 3, Value: (-0.01171875,0.03515625,0.01171875)},Magnetic: {Time: 1678, Status: 2, Value: (23.5625,13.0,-31.5625)},Gravity: {Time: 1661, Status: 3, Value: (0.546875,-0.1875,9.71875)}, Rotation: {Time: 1685, Status: 2, Value: (0.00579833984375,-0.029296875,0.5125732421875, 0.858154296875)}}
0:00:01.812606 {Acceleration: {Time: 1763, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1746, Status: 3, Value: (-0.01171875,-0.00390625,0.01171875)},Magnetic: {Time: 1750, Status: 2, Value: (24.125,12.3125,-32.375)},Gravity: {Time: 1732, Status: 3, Value: (0.546875,-0.1875,9.71875)}, Rotation: {Time: 1757, Status: 2, Value: (0.00579833984375,-0.029296875,0.5125732421875, 0.858154296875)}}
0:00:01.937652 {Acceleration: {Time: 1882, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1843, Status: 3, Value: (-0.01171875,-0.00390625,-0.03515625)},Magnetic: {Time: 1847, Status: 2, Value: (23.3125,14.0,-31.875)},Gravity: {Time: 1840, Status: 3, Value: (0.546875,-0.1875,9.7265625)}, Rotation: {Time: 1877, Status: 2, Value: (0.00579833984375,-0.029296875,0.5125732421875, 0.858154296875)}}
0:00:02.015831 {Acceleration: {Time: 1952, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1937, Status: 3, Value: (-0.01171875,-0.00390625,0.125)},Magnetic: {Time: 1941, Status: 2, Value: (23.4375,15.75,-32.9375)},Gravity: {Time: 1923, Status: 3, Value: (0.546875,-0.1875,9.71875)}, Rotation: {Time: 1947, Status: 2, Value: (0.00579833984375,-0.02923583984375,0.5125732421875, 0.858154296875)}}
0:00:02.140775 {Acceleration: {Time: 2073, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 2034, Status: 3, Value: (-0.05078125,-0.04296875,-0.1796875)},Magnetic: {Time: 2037, Status: 2, Value: (22.1875,13.5625,-32.4375)},Gravity: {Time: 2030, Status: 3, Value: (0.546875,-0.1875,9.71875)}, Rotation: {Time: 2068, Status: 2, Value: (0.00579833984375,-0.02923583984375,0.51251220703125, 0.858154296875)}}
0:00:02.187657 {Acceleration: {Time: 2134, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 2142, Status: 3, Value: (-0.01171875,-0.00390625,-0.07421875)},Magnetic: {Time: 2037, Status: 2, Value: (22.1875,13.5625,-32.4375)},Gravity: {Time: 2139, Status: 3, Value: (0.546875,-0.1875,9.7265625)}, Rotation: {Time: 2137, Status: 2, Value: (0.00579833984375,-0.02923583984375,0.51251220703125, 0.858154296875)}}
0:00:02.297071 {Acceleration: {Time: 2238, Status: 0, Value: (0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 2227, Status: 3, Value: (0.02734375,-0.00390625,-0.04296875)},Magnetic: {Time: 2230, Status: 2, Value: (22.5625,13.5625,-32.375)},Gravity: {Time: 2213, Status: 3, Value: (0.546875,-0.1875,9.734375)}, Rotation: {Time: 2240, Status: 2, Value: (0.005859375,-0.02923583984375,0.512451171875, 0.85821533203125)}}
0:00:02.406364 {Acceleration: {Time: 2340, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 2298, Status: 3, Value: (-0.01171875,-0.00390625,-0.04296875)},Magnetic: {Time: 2302, Status: 2, Value: (23.375,14.6875,-32.1875)},Gravity: {Time: 2343, Status: 3, Value: (0.546875,-0.1875,9.734375)}, Rotation: {Time: 2335, Status: 2, Value: (0.00592041015625,-0.02923583984375,0.51251220703125, 0.858154296875)}}
0:00:02.500156 {Acceleration: {Time: 2435, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 2444, Status: 3, Value: (-0.01171875,-0.04296875,-0.03515625)},Magnetic: {Time: 2406, Status: 2, Value: (22.875,13.875,-33.125)},Gravity: {Time: 2440, Status: 3, Value: (0.546875,-0.1875,9.7265625)}, Rotation: {Time: 2437, Status: 2, Value: (0.005859375,-0.02923583984375,0.51251220703125, 0.858154296875)}}
0:00:02.593906 {Acceleration: {Time: 2531, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2525, Status: 3, Value: (-0.01171875,-0.00390625,0.01171875)},Magnetic: {Time: 2527, Status: 2, Value: (24.625,14.375,-33.4375)},Gravity: {Time: 2521, Status: 3, Value: (0.546875,-0.1875,9.71875)}, Rotation: {Time: 2534, Status: 2, Value: (0.005859375,-0.02923583984375,0.51251220703125, 0.858154296875)}}
0:00:02.687694 {Acceleration: {Time: 2631, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2594, Status: 3, Value: (-0.01171875,0.00390625,0.01171875)},Magnetic: {Time: 2597, Status: 2, Value: (23.4375,14.4375,-31.0)},Gravity: {Time: 2590, Status: 3, Value: (0.546875,-0.1953125,9.71875)}, Rotation: {Time: 2628, Status: 2, Value: (0.00579833984375,-0.029296875,0.5125732421875, 0.858154296875)}}
0:00:02.781402 {Acceleration: {Time: 2720, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 2729, Status: 3, Value: (-0.01171875,0.01171875,0.05078125)},Magnetic: {Time: 2690, Status: 2, Value: (23.6875,14.75,-32.1875)},Gravity: {Time: 2727, Status: 3, Value: (0.546875,-0.203125,9.71875)}, Rotation: {Time: 2723, Status: 2, Value: (0.00579833984375,-0.029296875,0.51251220703125, 0.858154296875)}}
0:00:02.859486 {Acceleration: {Time: 2798, Status: 0, Value: (-0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 2786, Status: 3, Value: (-0.01171875,0.01171875,0.01171875)},Magnetic: {Time: 2762, Status: 2, Value: (23.25,13.3125,-31.9375)},Gravity: {Time: 2783, Status: 3, Value: (0.546875,-0.203125,9.71875)}, Rotation: {Time: 2794, Status: 2, Value: (0.00579833984375,-0.029296875,0.5125732421875, 0.858154296875)}}
0:00:02.953228 {Acceleration: {Time: 2887, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 2856, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 2831, Status: 2, Value: (23.1875,13.8125,-34.0)},Gravity: {Time: 2852, Status: 3, Value: (0.546875,-0.203125,9.71875)}, Rotation: {Time: 2881, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.5125732421875, 0.858154296875)}}
0:00:03.031403 {Acceleration: {Time: 2986, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 2948, Status: 3, Value: (-0.0859375,-0.03515625,0.01171875)},Magnetic: {Time: 2950, Status: 2, Value: (24.0625,14.5,-31.3125)},Gravity: {Time: 2944, Status: 3, Value: (0.546875,-0.1953125,9.71875)}, Rotation: {Time: 2981, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.5125732421875, 0.858154296875)}}
0:00:03.140773 {Acceleration: {Time: 3081, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3040, Status: 3, Value: (-0.01171875,0.01171875,0.05078125)},Magnetic: {Time: 3044, Status: 2, Value: (23.6875,11.5,-32.4375)},Gravity: {Time: 3026, Status: 3, Value: (0.546875,-0.203125,9.71875)}, Rotation: {Time: 3083, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.5125732421875, 0.858154296875)}}
0:00:03.218904 {Acceleration: {Time: 3175, Status: 0, Value: (-0.00390625,-0.001953125,0.00390625)},Gyroscope: {Time: 3168, Status: 3, Value: (-0.01171875,0.00390625,-0.03515625)},Magnetic: {Time: 3170, Status: 2, Value: (23.125,12.875,-33.1875)},Gravity: {Time: 3165, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3177, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.5125732421875, 0.858154296875)}}
0:00:03.328323 {Acceleration: {Time: 3267, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 3276, Status: 3, Value: (-0.01171875,0.04296875,-0.00390625)},Magnetic: {Time: 3211, Status: 2, Value: (23.4375,13.875,-33.9375)},Gravity: {Time: 3272, Status: 3, Value: (0.546875,-0.1953125,9.734375)}, Rotation: {Time: 3269, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.5125732421875, 0.85809326171875)}}
0:00:03.437688 {Acceleration: {Time: 3371, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3342, Status: 3, Value: (-0.01171875,0.00390625,0.00390625)},Magnetic: {Time: 3345, Status: 2, Value: (22.375,12.125,-32.5)},Gravity: {Time: 3340, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3374, Status: 2, Value: (0.0057373046875,-0.0294189453125,0.5125732421875, 0.85809326171875)}}
0:00:03.531447 {Acceleration: {Time: 3470, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3431, Status: 3, Value: (-0.01171875,0.00390625,0.00390625)},Magnetic: {Time: 3434, Status: 2, Value: (22.5625,14.1875,-33.125)},Gravity: {Time: 3416, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3472, Status: 2, Value: (0.0057373046875,-0.0294189453125,0.5125732421875, 0.85809326171875)}}
0:00:03.625199 {Acceleration: {Time: 3562, Status: 0, Value: (0.001953125,0.001953125,0.00390625)},Gyroscope: {Time: 3557, Status: 3, Value: (-0.01171875,0.00390625,0.00390625)},Magnetic: {Time: 3559, Status: 2, Value: (22.6875,11.75,-32.5625)},Gravity: {Time: 3553, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3566, Status: 2, Value: (0.00579833984375,-0.02935791015625,0.51263427734375, 0.85809326171875)}}
0:00:03.718946 {Acceleration: {Time: 3661, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 3598, Status: 3, Value: (0.02734375,0.00390625,-0.03515625)},Magnetic: {Time: 3647, Status: 2, Value: (23.0625,14.75,-31.375)},Gravity: {Time: 3631, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3658, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.51263427734375, 0.85809326171875)}}
0:00:03.812664 {Acceleration: {Time: 3748, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 3758, Status: 3, Value: (-0.05078125,-0.03515625,0.04296875)},Magnetic: {Time: 3694, Status: 2, Value: (23.25,12.0625,-34.125)},Gravity: {Time: 3755, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3750, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.5126953125, 0.8580322265625)}}
0:00:03.875106 {Acceleration: {Time: 3819, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 3827, Status: 3, Value: (-0.01171875,-0.03515625,-0.03515625)},Magnetic: {Time: 3789, Status: 2, Value: (22.6875,14.6875,-31.875)},Gravity: {Time: 3824, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3822, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.5126953125, 0.85809326171875)}}
0:00:03.984571 {Acceleration: {Time: 3923, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 3884, Status: 3, Value: (-0.01171875,-0.03515625,0.04296875)},Magnetic: {Time: 3888, Status: 2, Value: (22.4375,13.125,-33.25)},Gravity: {Time: 3870, Status: 3, Value: (0.546875,-0.1953125,9.7265625)}, Rotation: {Time: 3919, Status: 2, Value: (0.0057373046875,-0.02935791015625,0.5126953125, 0.85809326171875)}}
0:00:04.078278 {Acceleration: {Time: 4020, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 4003, Status: 3, Value: (-0.04296875,0.00390625,-0.07421875)},Magnetic: {Time: 4006, Status: 2, Value: (22.3125,14.25,-31.9375)},Gravity: {Time: 3989, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4015, Status: 2, Value: (0.00579833984375,-0.02935791015625,0.5126953125, 0.8580322265625)}}
0:00:04.172069 {Acceleration: {Time: 4111, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4078, Status: 3, Value: (-0.00390625,0.00390625,-0.03515625)},Magnetic: {Time: 4053, Status: 2, Value: (24.3125,13.5,-31.4375)},Gravity: {Time: 4075, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4104, Status: 2, Value: (0.00579833984375,-0.029296875,0.5126953125, 0.8580322265625)}}
0:00:04.265823 {Acceleration: {Time: 4200, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4209, Status: 3, Value: (-0.00390625,0.04296875,0.00390625)},Magnetic: {Time: 4146, Status: 2, Value: (24.5,15.5625,-32.0625)},Gravity: {Time: 4206, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4202, Status: 2, Value: (0.00579833984375,-0.029296875,0.5126953125, 0.8580322265625)}}
0:00:04.359487 {Acceleration: {Time: 4299, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4308, Status: 3, Value: (-0.00390625,0.00390625,-0.03515625)},Magnetic: {Time: 4268, Status: 2, Value: (23.125,16.125,-32.5625)},Gravity: {Time: 4305, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4302, Status: 2, Value: (0.0057373046875,-0.029296875,0.5126953125, 0.8580322265625)}}
0:00:04.468943 {Acceleration: {Time: 4403, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4392, Status: 3, Value: (-0.00390625,-0.03515625,0.01171875)},Magnetic: {Time: 4395, Status: 2, Value: (23.5625,13.375,-31.875)},Gravity: {Time: 4378, Status: 3, Value: (0.5390625,-0.1953125,9.71875)}, Rotation: {Time: 4405, Status: 2, Value: (0.0057373046875,-0.02923583984375,0.51275634765625, 0.8580322265625)}}
0:00:04.562692 {Acceleration: {Time: 4504, Status: 0, Value: (0.00390625,0.001953125,0.001953125)},Gyroscope: {Time: 4494, Status: 3, Value: (-0.00390625,0.00390625,0.01171875)},Magnetic: {Time: 4497, Status: 2, Value: (23.4375,14.75,-31.8125)},Gravity: {Time: 4491, Status: 3, Value: (0.5390625,-0.1953125,9.71875)}, Rotation: {Time: 4500, Status: 2, Value: (0.00567626953125,-0.02923583984375,0.51275634765625, 0.8580322265625)}}
0:00:04.656450 {Acceleration: {Time: 4597, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 4558, Status: 3, Value: (-0.00390625,0.00390625,0.08203125)},Magnetic: {Time: 4562, Status: 2, Value: (23.375,14.375,-31.8125)},Gravity: {Time: 4544, Status: 3, Value: (0.5390625,-0.1953125,9.7265625)}, Rotation: {Time: 4600, Status: 2, Value: (0.0057373046875,-0.02911376953125,0.5128173828125, 0.85797119140625)}}
0:00:04.750193 {Acceleration: {Time: 4690, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4659, Status: 3, Value: (-0.00390625,0.03515625,0.08203125)},Magnetic: {Time: 4635, Status: 2, Value: (22.5625,14.25,-32.75)},Gravity: {Time: 4656, Status: 3, Value: (0.5390625,-0.1875,9.7265625)}, Rotation: {Time: 4683, Status: 2, Value: (0.005859375,-0.029052734375,0.5128173828125, 0.85797119140625)}}
