0:00:00.093742 {Acceleration: {Time: 34, Status: 0, Value: (-0.001953125,0.0078125,-0.001953125)},Gyroscope: {Time: 44, Status: 3, Value: (-0.70703125,0.30078125,-0.140625)},Magnetic: {Time: 350732, Status: 0, Value: (-37.6875,-69.125,-66.5625)},Gravity: {Time: 41, Status: 3, Value: (0.59375,-0.109375,9.71875)}, Rotation: {Time: 38, Status: 0, Value: (-0.00616455078125,-0.03143310546875,0.0047607421875, 0.99945068359375)}}
0:00:00.187349 {Acceleration: {Time: 136, Status: 0, Value: (-0.0078125,-0.015625,0.0)},Gyroscope: {Time: 130, Status: 3, Value: (-0.70703125,0.30078125,-0.2578125)},Magnetic: {Time: 132, Status: 0, Value: (-38.125,-69.5625,-66.625)},Gravity: {Time: 126, Status: 3, Value: (0.59375,-0.109375,9.71875)}, Rotation: {Time: 139, Status: 0, Value: (-0.00628662109375,-0.03143310546875,0.0047607421875, 0.99945068359375)}}
0:00:00.296852 {Acceleration: {Time: 235, Status: 0, Value: (-0.005859375,-0.033203125,-0.00390625)},Gyroscope: {Time: 198, Status: 3, Value: (-0.35546875,0.03125,0.203125)},Magnetic: {Time: 173, Status: 0, Value: (-38.125,-69.25,-67.4375)},Gravity: {Time: 194, Status: 3, Value: (0.5859375,-0.109375,9.71875)}, Rotation: {Time: 238, Status: 0, Value: (-0.00628662109375,-0.03106689453125,0.00482177734375, 0.99951171875)}}
0:00:00.391493 {Acceleration: {Time: 328, Status: 0, Value: (0.0078125,0.04296875,0.00390625)},Gyroscope: {Time: 337, Status: 3, Value: (0.42578125,0.0703125,0.2421875)},Magnetic: {Time: 272, Status: 0, Value: (-39.625,-67.625,-67.0)},Gravity: {Time: 334, Status: 3, Value: (0.5703125,-0.109375,9.71875)}, Rotation: {Time: 331, Status: 0, Value: (-0.00616455078125,-0.0306396484375,0.00482177734375, 0.99951171875)}}
0:00:00.485688 {Acceleration: {Time: 428, Status: 0, Value: (0.0078125,0.0390625,0.001953125)},Gyroscope: {Time: 437, Status: 3, Value: (0.00390625,-0.15234375,0.2421875)},Magnetic: {Time: 397, Status: 0, Value: (-38.5,-70.0,-67.0625)},Gravity: {Time: 434, Status: 3, Value: (0.5703125,-0.1171875,9.71875)}, Rotation: {Time: 431, Status: 0, Value: (-0.0059814453125,-0.03057861328125,0.00482177734375, 0.99951171875)}}
0:00:00.579410 {Acceleration: {Time: 528, Status: 0, Value: (0.001953125,0.01953125,-0.001953125)},Gyroscope: {Time: 520, Status: 3, Value: (0.50390625,-0.1875,0.171875)},Magnetic: {Time: 524, Status: 0, Value: (-38.25,-68.1875,-66.9375)},Gravity: {Time: 517, Status: 3, Value: (0.5703125,-0.1171875,9.7109375)}, Rotation: {Time: 530, Status: 0, Value: (-0.0059814453125,-0.030517578125,0.0047607421875, 0.99951171875)}}
0:00:00.673545 {Acceleration: {Time: 626, Status: 0, Value: (-0.00390625,-0.005859375,-0.001953125)},Gyroscope: {Time: 593, Status: 3, Value: (0.50390625,-0.11328125,0.2109375)},Magnetic: {Time: 595, Status: 0, Value: (-39.0,-68.25,-67.0)},Gravity: {Time: 591, Status: 3, Value: (0.5703125,-0.1171875,9.7109375)}, Rotation: {Time: 623, Status: 0, Value: (-0.0059814453125,-0.0303955078125,0.0047607421875, 0.99951171875)}}
0:00:00.752401 {Acceleration: {Time: 693, Status: 0, Value: (0.001953125,0.01953125,0.001953125)},Gyroscope: {Time: 657, Status: 3, Value: (-0.609375,0.26953125,-0.25)},Magnetic: {Time: 661, Status: 0, Value: (-39.0625,-68.625,-67.4375)},Gravity: {Time: 591, Status: 3, Value: (0.5703125,-0.1171875,9.7109375)}, Rotation: {Time: 689, Status: 0, Value: (-0.00604248046875,-0.0303955078125,0.0047607421875, 0.99951171875)}}
0:00:00.846605 {Acceleration: {Time: 790, Status: 0, Value: (0.0078125,0.0390625,0.001953125)},Gyroscope: {Time: 751, Status: 3, Value: (0.43359375,0.00390625,0.1328125)},Magnetic: {Time: 754, Status: 0, Value: (-39.0,-68.25,-67.0625)},Gravity: {Time: 748, Status: 3, Value: (0.5625,-0.1171875,9.7109375)}, Rotation: {Time: 784, Status: 0, Value: (-0.006103515625,-0.03009033203125,0.00482177734375, 0.99951171875)}}
0:00:00.940486 {Acceleration: {Time: 885, Status: 0, Value: (-0.005859375,-0.044921875,-0.001953125)},Gyroscope: {Time: 848, Status: 3, Value: (-0.6328125,0.1953125,0.1328125)},Magnetic: {Time: 824, Status: 0, Value: (-38.4375,-69.625,-67.125)},Gravity: {Time: 845, Status: 3, Value: (0.5546875,-0.1171875,9.7109375)}, Rotation: {Time: 887, Status: 0, Value: (-0.0059814453125,-0.0296630859375,0.00482177734375, 0.99951171875)}}
0:00:01.034110 {Acceleration: {Time: 975, Status: 0, Value: (0.005859375,0.041015625,0.00390625)},Gyroscope: {Time: 984, Status: 3, Value: (0.44140625,0.0390625,0.1328125)},Magnetic: {Time: 945, Status: 0, Value: (-38.8125,-69.375,-67.875)},Gravity: {Time: 981, Status: 3, Value: (0.5546875,-0.1171875,9.7109375)}, Rotation: {Time: 978, Status: 0, Value: (-0.005859375,-0.029541015625,0.00482177734375, 0.99951171875)}}
