0:00:00.109374 {Acceleration: {Time: 42, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5, Status: 3, Value: (0.0,0.00390625,0.03515625)},Magnetic: {Time: 7, Status: 0, Value: (-63.75,26.875,76.5625)},Gravity: {Time: 2, Status: 3, Value: (-0.15625,-0.015625,9.8046875)}, Rotation: {Time: 45, Status: 0, Value: (0.0064697265625,0.00457763671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.203124 {Acceleration: {Time: 142, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 128, Status: 3, Value: (0.0,0.00390625,-0.00390625)},Magnetic: {Time: 131, Status: 0, Value: (-63.4375,25.75,76.9375)},Gravity: {Time: 114, Status: 3, Value: (-0.15625,-0.015625,9.8046875)}, Rotation: {Time: 138, Status: 0, Value: (0.0064697265625,0.00457763671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.265463 {Acceleration: {Time: 213, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 202, Status: 3, Value: (0.0,0.00390625,-0.00390625)},Magnetic: {Time: 176, Status: 0, Value: (-63.75,26.5625,77.375)},Gravity: {Time: 198, Status: 3, Value: (-0.15625,-0.015625,9.8046875)}, Rotation: {Time: 208, Status: 0, Value: (0.0064697265625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.375046 {Acceleration: {Time: 301, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 309, Status: 3, Value: (0.03125,0.00390625,0.02734375)},Magnetic: {Time: 246, Status: 0, Value: (-64.8125,26.375,75.375)},Gravity: {Time: 307, Status: 3, Value: (-0.1484375,-0.015625,9.8125)}, Rotation: {Time: 303, Status: 0, Value: (0.0064697265625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.453845 {Acceleration: {Time: 398, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 392, Status: 3, Value: (-0.0078125,0.00390625,-0.01171875)},Magnetic: {Time: 394, Status: 0, Value: (-63.375,27.3125,76.9375)},Gravity: {Time: 388, Status: 3, Value: (-0.1484375,-0.015625,9.8125)}, Rotation: {Time: 401, Status: 0, Value: (0.00640869140625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.563430 {Acceleration: {Time: 494, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 456, Status: 3, Value: (0.0,-0.03125,0.03515625)},Magnetic: {Time: 459, Status: 0, Value: (-64.8125,26.0,75.75)},Gravity: {Time: 442, Status: 3, Value: (-0.15625,-0.015625,9.8046875)}, Rotation: {Time: 497, Status: 0, Value: (0.00640869140625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.656992 {Acceleration: {Time: 586, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 594, Status: 3, Value: (0.0390625,0.00390625,-0.00390625)},Magnetic: {Time: 556, Status: 0, Value: (-63.75,27.0,77.75)},Gravity: {Time: 592, Status: 3, Value: (-0.15625,-0.015625,9.8046875)}, Rotation: {Time: 589, Status: 0, Value: (0.00640869140625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.735205 {Acceleration: {Time: 690, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 652, Status: 3, Value: (0.0,0.00390625,-0.00390625)},Magnetic: {Time: 655, Status: 0, Value: (-63.75,28.4375,77.125)},Gravity: {Time: 649, Status: 3, Value: (-0.15625,-0.015625,9.8046875)}, Rotation: {Time: 686, Status: 0, Value: (0.00640869140625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.844493 {Acceleration: {Time: 782, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 773, Status: 3, Value: (-0.0078125,0.00390625,-0.01171875)},Magnetic: {Time: 776, Status: 0, Value: (-64.125,26.9375,77.375)},Gravity: {Time: 769, Status: 3, Value: (-0.1484375,-0.015625,9.8125)}, Rotation: {Time: 785, Status: 0, Value: (0.00640869140625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
0:00:00.938245 {Acceleration: {Time: 873, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 882, Status: 3, Value: (-0.0078125,0.00390625,-0.01171875)},Magnetic: {Time: 819, Status: 0, Value: (-64.8125,27.25,76.25)},Gravity: {Time: 879, Status: 3, Value: (-0.1484375,-0.015625,9.8125)}, Rotation: {Time: 876, Status: 0, Value: (0.00640869140625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
0:00:01.031973 {Acceleration: {Time: 978, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 942, Status: 3, Value: (-0.0078125,0.00390625,0.02734375)},Magnetic: {Time: 945, Status: 0, Value: (-64.4375,27.25,76.25)},Gravity: {Time: 939, Status: 3, Value: (-0.1484375,-0.015625,9.8125)}, Rotation: {Time: 981, Status: 0, Value: (0.00640869140625,0.004638671875,-0.8553466796875, 0.5179443359375)}}
