0:00:00.063083 {Acceleration: {Time: 3753217, Status: 0, Value: (0.03515625,0.04296875,-0.005859375)},Gyroscope: {Time: 3753045, Status: 3, Value: (0.16796875,-0.10546875,-0.78125)},Magnetic: {Time: 3753213, Status: 1, Value: (9.0,3.5,-28.125)},Gravity: {Time: 3753207, Status: 3, Value: (-0.0625,0.171875,9.8828125)}, Rotation: {Time: 3753219, Status: 0, Value: (0.00604248046875,0.00396728515625,0.62139892578125, 0.783447265625)}}
0:00:00.173105 {Acceleration: {Time: 92, Status: 0, Value: (-0.029296875,-0.046875,-0.009765625)},Gyroscope: {Time: 86, Status: 3, Value: (0.34375,-0.12109375,-0.89453125)},Magnetic: {Time: 90, Status: 1, Value: (7.3125,1.1875,-28.25)},Gravity: {Time: 43, Status: 3, Value: (-0.078125,0.1875,9.890625)}, Rotation: {Time: 95, Status: 0, Value: (0.0059814453125,0.00457763671875,0.62139892578125, 0.783447265625)}}
0:00:00.267565 {Acceleration: {Time: 175, Status: 0, Value: (-0.005859375,-0.03125,-0.001953125)},Gyroscope: {Time: 167, Status: 3, Value: (-0.34375,0.15625,0.5234375)},Magnetic: {Time: 170, Status: 1, Value: (8.0,3.625,-26.5)},Gravity: {Time: 182, Status: 3, Value: (-0.0703125,0.1796875,9.890625)}, Rotation: {Time: 177, Status: 0, Value: (0.00592041015625,0.00469970703125,0.62139892578125, 0.783447265625)}}
0:00:00.345744 {Acceleration: {Time: 266, Status: 0, Value: (0.0234375,0.021484375,-0.001953125)},Gyroscope: {Time: 256, Status: 3, Value: (0.265625,-0.15234375,0.1015625)},Magnetic: {Time: 263, Status: 1, Value: (8.3125,3.4375,-29.3125)},Gravity: {Time: 228, Status: 3, Value: (-0.078125,0.1796875,9.890625)}, Rotation: {Time: 269, Status: 0, Value: (0.00579833984375,0.0050048828125,0.62139892578125, 0.78350830078125)}}
0:00:00.440304 {Acceleration: {Time: 352, Status: 0, Value: (0.005859375,0.00390625,-0.001953125)},Gyroscope: {Time: 341, Status: 3, Value: (0.0,0.1484375,-0.17578125)},Magnetic: {Time: 348, Status: 1, Value: (7.25,0.9375,-26.3125)},Gravity: {Time: 314, Status: 3, Value: (-0.078125,0.1875,9.8984375)}, Rotation: {Time: 355, Status: 0, Value: (0.00567626953125,0.005126953125,0.621337890625, 0.78350830078125)}}
0:00:00.550102 {Acceleration: {Time: 466, Status: 0, Value: (-0.00390625,-0.009765625,0.0)},Gyroscope: {Time: 459, Status: 3, Value: (0.390625,-0.05078125,-0.89453125)},Magnetic: {Time: 463, Status: 1, Value: (8.25,3.3125,-25.75)},Gravity: {Time: 425, Status: 3, Value: (-0.0859375,0.1875,9.890625)}, Rotation: {Time: 469, Status: 0, Value: (0.0057373046875,0.00567626953125,0.621337890625, 0.783447265625)}}
0:00:00.628585 {Acceleration: {Time: 552, Status: 0, Value: (0.033203125,0.046875,0.0)},Gyroscope: {Time: 544, Status: 3, Value: (-0.4921875,0.0625,1.09765625)},Magnetic: {Time: 547, Status: 1, Value: (9.0625,4.75,-27.625)},Gravity: {Time: 425, Status: 3, Value: (-0.0859375,0.1875,9.890625)}, Rotation: {Time: 555, Status: 0, Value: (0.005615234375,0.006103515625,0.62139892578125, 0.783447265625)}}
0:00:00.707424 {Acceleration: {Time: 624, Status: 0, Value: (0.013671875,0.029296875,0.00390625)},Gyroscope: {Time: 619, Status: 3, Value: (0.25390625,-0.05859375,-0.85546875)},Magnetic: {Time: 621, Status: 1, Value: (8.0,1.625,-27.8125)},Gravity: {Time: 615, Status: 3, Value: (-0.1015625,0.203125,9.890625)}, Rotation: {Time: 627, Status: 0, Value: (0.0054931640625,0.0064697265625,0.62139892578125, 0.783447265625)}}
0:00:00.832797 {Acceleration: {Time: 756, Status: 0, Value: (0.021484375,0.03125,0.00390625)},Gyroscope: {Time: 744, Status: 3, Value: (-0.25390625,0.0625,0.8671875)},Magnetic: {Time: 702, Status: 1, Value: (8.0,3.5625,-27.75)},Gravity: {Time: 670, Status: 3, Value: (-0.09375,0.203125,9.890625)}, Rotation: {Time: 750, Status: 0, Value: (0.00567626953125,0.0067138671875,0.62139892578125, 0.783447265625)}}
0:00:00.927257 {Acceleration: {Time: 839, Status: 0, Value: (0.025390625,0.017578125,0.0)},Gyroscope: {Time: 832, Status: 3, Value: (0.4765625,-0.20703125,-1.125)},Magnetic: {Time: 835, Status: 1, Value: (9.0,2.375,-28.625)},Gravity: {Time: 785, Status: 3, Value: (-0.09375,0.203125,9.890625)}, Rotation: {Time: 841, Status: 0, Value: (0.00555419921875,0.00689697265625,0.621337890625, 0.78350830078125)}}
0:00:01.005541 {Acceleration: {Time: 926, Status: 0, Value: (0.0078125,0.021484375,-0.00390625)},Gyroscope: {Time: 918, Status: 3, Value: (-0.51953125,0.1015625,0.828125)},Magnetic: {Time: 922, Status: 1, Value: (8.0625,4.75,-27.625)},Gravity: {Time: 873, Status: 3, Value: (-0.09375,0.203125,9.890625)}, Rotation: {Time: 928, Status: 0, Value: (0.00537109375,0.0069580078125,0.62139892578125, 0.783447265625)}}
