0:00:00.094390 {Acceleration: {Time: 41, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 5, Status: 3, Value: (0.0234375,-0.0078125,-0.03515625)},Magnetic: {Time: 7, Status: 1, Value: (-35.0625,24.5,-12.9375)},Gravity: {Time: 1, Status: 3, Value: (0.15625,0.0859375,9.71875)}, Rotation: {Time: 37, Status: 0, Value: (0.0003662109375,-0.00872802734375,-0.458740234375, 0.8885498046875)}}
0:00:00.204024 {Acceleration: {Time: 130, Status: 0, Value: (-0.00390625,0.0,0.001953125)},Gyroscope: {Time: 139, Status: 3, Value: (-0.046875,-0.0078125,0.00390625)},Magnetic: {Time: 74, Status: 1, Value: (-34.5,24.75,-13.8125)},Gravity: {Time: 135, Status: 3, Value: (0.1484375,0.0859375,9.71875)}, Rotation: {Time: 132, Status: 0, Value: (0.0003662109375,-0.00872802734375,-0.45867919921875, 0.8885498046875)}}
0:00:00.297696 {Acceleration: {Time: 235, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 209, Status: 3, Value: (-0.0078125,0.0,0.00390625)},Magnetic: {Time: 223, Status: 1, Value: (-34.75,25.25,-15.0)},Gravity: {Time: 205, Status: 3, Value: (0.1484375,0.078125,9.71875)}, Rotation: {Time: 238, Status: 0, Value: (0.0003662109375,-0.00872802734375,-0.45867919921875, 0.8885498046875)}}
0:00:00.376022 {Acceleration: {Time: 301, Status: 0, Value: (0.001953125,0.001953125,0.00390625)},Gyroscope: {Time: 309, Status: 3, Value: (-0.0078125,0.0,0.00390625)},Magnetic: {Time: 223, Status: 1, Value: (-34.75,25.25,-15.0)},Gravity: {Time: 305, Status: 3, Value: (0.1484375,0.078125,9.71875)}, Rotation: {Time: 303, Status: 0, Value: (0.00030517578125,-0.00872802734375,-0.458740234375, 0.8885498046875)}}
0:00:00.470062 {Acceleration: {Time: 400, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 393, Status: 3, Value: (0.03125,0.0,0.01171875)},Magnetic: {Time: 395, Status: 1, Value: (-35.25,25.375,-12.5625)},Gravity: {Time: 388, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 403, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.45867919921875, 0.8885498046875)}}
0:00:00.564342 {Acceleration: {Time: 496, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 489, Status: 3, Value: (-0.0078125,-0.0078125,0.01171875)},Magnetic: {Time: 492, Status: 1, Value: (-35.5,25.4375,-13.3125)},Gravity: {Time: 485, Status: 3, Value: (0.1484375,0.0859375,9.7109375)}, Rotation: {Time: 500, Status: 0, Value: (0.0003662109375,-0.00872802734375,-0.45867919921875, 0.8885498046875)}}
0:00:00.658363 {Acceleration: {Time: 590, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 581, Status: 3, Value: (-0.0078125,-0.0078125,0.01171875)},Magnetic: {Time: 583, Status: 1, Value: (-35.3125,24.125,-12.5)},Gravity: {Time: 578, Status: 3, Value: (0.1484375,0.0859375,9.7109375)}, Rotation: {Time: 592, Status: 0, Value: (0.0003662109375,-0.0087890625,-0.45867919921875, 0.8885498046875)}}
0:00:00.752541 {Acceleration: {Time: 686, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 679, Status: 3, Value: (0.0,-0.0078125,0.01171875)},Magnetic: {Time: 682, Status: 1, Value: (-34.75,23.9375,-12.5625)},Gravity: {Time: 676, Status: 3, Value: (0.140625,0.0859375,9.7109375)}, Rotation: {Time: 688, Status: 0, Value: (0.00042724609375,-0.0087890625,-0.45867919921875, 0.8885498046875)}}
0:00:00.846626 {Acceleration: {Time: 781, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 790, Status: 3, Value: (0.0,-0.0078125,-0.02734375)},Magnetic: {Time: 773, Status: 1, Value: (-35.375,25.8125,-12.5625)},Gravity: {Time: 787, Status: 3, Value: (0.140625,0.0859375,9.7109375)}, Rotation: {Time: 783, Status: 0, Value: (0.0003662109375,-0.00872802734375,-0.4586181640625, 0.88861083984375)}}
0:00:00.940840 {Acceleration: {Time: 884, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 844, Status: 3, Value: (0.0,-0.0078125,0.01171875)},Magnetic: {Time: 848, Status: 1, Value: (-34.8125,24.8125,-13.375)},Gravity: {Time: 830, Status: 3, Value: (0.140625,0.0859375,9.7109375)}, Rotation: {Time: 886, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.4586181640625, 0.88861083984375)}}
0:00:01.050933 {Acceleration: {Time: 987, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 961, Status: 3, Value: (0.0,0.03125,0.05078125)},Magnetic: {Time: 975, Status: 1, Value: (-35.1875,24.5,-11.375)},Gravity: {Time: 958, Status: 3, Value: (0.140625,0.0859375,9.7109375)}, Rotation: {Time: 990, Status: 0, Value: (0.0003662109375,-0.0086669921875,-0.4586181640625, 0.8885498046875)}}
