0:00:00.076528 {Acceleration: {Time: 35, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 5, Status: 3, Value: (-0.03125,-0.02734375,0.03515625)},Magnetic: {Time: 7, Status: 1, Value: (-42.4375,6.5,-26.125)},Gravity: {Time: 40, Status: 3, Value: (0.03125,-0.0859375,9.6953125)}, Rotation: {Time: 37, Status: 0, Value: (0.0001220703125,0.00018310546875,-0.65283203125, 0.75750732421875)}}
0:00:00.170487 {Acceleration: {Time: 134, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 98, Status: 3, Value: (0.0078125,0.0,0.03515625)},Magnetic: {Time: 100, Status: 1, Value: (-40.25,4.1875,-26.0)},Gravity: {Time: 95, Status: 3, Value: (0.03125,-0.078125,9.6953125)}, Rotation: {Time: 131, Status: 0, Value: (0.0,0.000244140625,-0.65277099609375, 0.75750732421875)}}
0:00:00.264283 {Acceleration: {Time: 225, Status: 0, Value: (0.001953125,0.021484375,0.001953125)},Gyroscope: {Time: 195, Status: 3, Value: (0.046875,0.0,-0.00390625)},Magnetic: {Time: 197, Status: 1, Value: (-42.875,5.875,-25.6875)},Gravity: {Time: 230, Status: 3, Value: (0.0234375,-0.0859375,9.6953125)}, Rotation: {Time: 227, Status: 0, Value: (0.0001220703125,0.00048828125,-0.65301513671875, 0.75732421875)}}
0:00:00.359444 {Acceleration: {Time: 326, Status: 0, Value: (0.287109375,2.646484375,-0.279296875)},Gyroscope: {Time: 289, Status: 3, Value: (-0.18359375,0.171875,0.5234375)},Magnetic: {Time: 292, Status: 1, Value: (-42.0,6.8125,-26.875)},Gravity: {Time: 286, Status: 3, Value: (-0.0078125,-0.09375,9.703125)}, Rotation: {Time: 322, Status: 0, Value: (0.0169677734375,0.02044677734375,-0.65374755859375, 0.7562255859375)}}
0:00:00.454317 {Acceleration: {Time: 414, Status: 0, Value: (-0.42578125,4.61328125,-1.47265625)},Gyroscope: {Time: 423, Status: 3, Value: (-1.1171875,-0.0234375,1.5078125)},Magnetic: {Time: 389, Status: 1, Value: (-33.9375,5.1875,-29.3125)},Gravity: {Time: 421, Status: 3, Value: (-3.25,-0.359375,9.1796875)}, Rotation: {Time: 416, Status: 0, Value: (0.10662841796875,0.13458251953125,-0.677734375, 0.7149658203125)}}
0:00:00.548044 {Acceleration: {Time: 520, Status: 0, Value: (0.24609375,5.095703125,-0.64453125)},Gyroscope: {Time: 506, Status: 3, Value: (-0.390625,0.91015625,-0.01953125)},Magnetic: {Time: 510, Status: 2, Value: (-6.5,4.3125,-34.8125)},Gravity: {Time: 492, Status: 3, Value: (-6.3125,-1.0234375,7.375)}, Rotation: {Time: 516, Status: 0, Value: (0.24578857421875,0.30816650390625,-0.67877197265625, 0.61962890625)}}
0:00:00.657614 {Acceleration: {Time: 609, Status: 0, Value: (0.2890625,1.802734375,0.8359375)},Gyroscope: {Time: 618, Status: 3, Value: (2.625,0.19140625,-1.21875)},Magnetic: {Time: 578, Status: 2, Value: (10.625,4.875,-29.1875)},Gravity: {Time: 615, Status: 3, Value: (-8.9453125,-0.8828125,3.8984375)}, Rotation: {Time: 611, Status: 1, Value: (0.37664794921875,0.3994140625,-0.62921142578125, 0.5501708984375)}}
0:00:00.751938 {Acceleration: {Time: 716, Status: 0, Value: (-0.572265625,1.279296875,0.357421875)},Gyroscope: {Time: 675, Status: 3, Value: (1.14453125,-0.12890625,-0.72265625)},Magnetic: {Time: 679, Status: 2, Value: (21.4375,2.4375,-24.0)},Gravity: {Time: 661, Status: 3, Value: (-9.1875,-0.5234375,3.3671875)}, Rotation: {Time: 719, Status: 1, Value: (0.4315185546875,0.4234619140625,-0.57904052734375, 0.54693603515625)}}
0:00:00.830615 {Acceleration: {Time: 782, Status: 0, Value: (-0.841796875,1.091796875,0.00390625)},Gyroscope: {Time: 773, Status: 3, Value: (0.66015625,-0.51171875,-0.125)},Magnetic: {Time: 776, Status: 2, Value: (22.6875,0.4375,-20.875)},Gravity: {Time: 789, Status: 3, Value: (-9.609375,-0.21875,1.8984375)}, Rotation: {Time: 784, Status: 1, Value: (0.44085693359375,0.45703125,-0.54833984375, 0.544189453125)}}
0:00:00.940334 {Acceleration: {Time: 900, Status: 0, Value: (-0.9296875,0.30078125,0.39453125)},Gyroscope: {Time: 905, Status: 3, Value: (0.70703125,0.125,0.15234375)},Magnetic: {Time: 909, Status: 2, Value: (26.9375,2.1875,-18.8125)},Gravity: {Time: 903, Status: 3, Value: (-9.7109375,-0.1640625,1.1484375)}, Rotation: {Time: 911, Status: 1, Value: (0.437744140625,0.49957275390625,-0.5013427734375, 0.55450439453125)}}
0:00:01.019226 {Acceleration: {Time: 981, Status: 0, Value: (-0.75,0.373046875,0.478515625)},Gyroscope: {Time: 967, Status: 3, Value: (0.33984375,0.49609375,0.0859375)},Magnetic: {Time: 971, Status: 0, Value: (25.875,3.875,-17.5625)},Gravity: {Time: 953, Status: 3, Value: (-9.7265625,0.0,1.0625)}, Rotation: {Time: 977, Status: 1, Value: (0.42999267578125,0.5130615234375,-0.4703369140625, 0.5750732421875)}}
0:00:01.113105 {Acceleration: {Time: 1071, Status: 0, Value: (-0.314453125,0.240234375,0.3984375)},Gyroscope: {Time: 1080, Status: 3, Value: (0.71484375,1.078125,1.44140625)},Magnetic: {Time: 1013, Status: 2, Value: (26.1875,4.1875,-17.25)},Gravity: {Time: 1077, Status: 3, Value: (-9.71875,0.53125,0.78125)}, Rotation: {Time: 1073, Status: 1, Value: (0.43109130859375,0.52325439453125,-0.43450927734375, 0.5928955078125)}}
0:00:01.207589 {Acceleration: {Time: 1173, Status: 0, Value: (-0.14453125,-0.271484375,0.61328125)},Gyroscope: {Time: 1135, Status: 3, Value: (0.9140625,0.9453125,1.12890625)},Magnetic: {Time: 1138, Status: 2, Value: (27.4375,3.125,-16.6875)},Gravity: {Time: 1121, Status: 3, Value: (-9.7265625,0.546875,0.6328125)}, Rotation: {Time: 1170, Status: 1, Value: (0.4365234375,0.5277099609375,-0.42877197265625, 0.58917236328125)}}
0:00:01.301230 {Acceleration: {Time: 1269, Status: 0, Value: (-0.23046875,0.05859375,0.025390625)},Gyroscope: {Time: 1240, Status: 3, Value: (0.6328125,0.46484375,0.0390625)},Magnetic: {Time: 1254, Status: 2, Value: (26.25,1.875,-16.9375)},Gravity: {Time: 1238, Status: 3, Value: (-9.671875,0.875,0.765625)}, Rotation: {Time: 1265, Status: 1, Value: (0.43841552734375,0.51824951171875,-0.42095947265625, 0.60162353515625)}}
0:00:01.394986 {Acceleration: {Time: 1360, Status: 0, Value: (-0.16796875,-0.203125,0.095703125)},Gyroscope: {Time: 1337, Status: 3, Value: (0.33984375,0.20703125,0.11328125)},Magnetic: {Time: 1340, Status: 2, Value: (26.0625,2.25,-15.75)},Gravity: {Time: 1335, Status: 3, Value: (-9.6484375,0.8671875,0.8046875)}, Rotation: {Time: 1354, Status: 1, Value: (0.43206787109375,0.521484375,-0.41558837890625, 0.607177734375)}}
0:00:01.504541 {Acceleration: {Time: 1453, Status: 0, Value: (0.275390625,0.078125,0.03125)},Gyroscope: {Time: 1462, Status: 3, Value: (0.34765625,0.05078125,-0.19921875)},Magnetic: {Time: 1398, Status: 2, Value: (26.1875,0.625,-18.3125)},Gravity: {Time: 1460, Status: 3, Value: (-9.6171875,0.90625,0.890625)}, Rotation: {Time: 1455, Status: 1, Value: (0.4324951171875,0.51690673828125,-0.4185791015625, 0.60870361328125)}}
0:00:01.598312 {Acceleration: {Time: 1557, Status: 0, Value: (0.326171875,-0.0234375,0.0390625)},Gyroscope: {Time: 1520, Status: 3, Value: (0.1171875,-0.1875,-0.546875)},Magnetic: {Time: 1496, Status: 2, Value: (26.75,1.5625,-17.3125)},Gravity: {Time: 1516, Status: 3, Value: (-9.6171875,0.9140625,0.8515625)}, Rotation: {Time: 1560, Status: 1, Value: (0.4398193359375,0.51519775390625,-0.42431640625, 0.60089111328125)}}
0:00:01.677150 {Acceleration: {Time: 1650, Status: 0, Value: (0.001953125,0.115234375,0.07421875)},Gyroscope: {Time: 1659, Status: 3, Value: (0.28515625,0.4375,0.69140625)},Magnetic: {Time: 1596, Status: 2, Value: (26.4375,1.3125,-18.0)},Gravity: {Time: 1656, Status: 3, Value: (-9.59375,1.0546875,0.765625)}, Rotation: {Time: 1652, Status: 1, Value: (0.45147705078125,0.50628662109375,-0.425537109375, 0.59893798828125)}}
0:00:01.755749 {Acceleration: {Time: 1721, Status: 0, Value: (-0.279296875,-0.1171875,0.11328125)},Gyroscope: {Time: 1659, Status: 3, Value: (0.28515625,0.4375,0.69140625)},Magnetic: {Time: 1689, Status: 2, Value: (26.9375,-0.0625,-18.0625)},Gravity: {Time: 1656, Status: 3, Value: (-9.59375,1.0546875,0.765625)}, Rotation: {Time: 1714, Status: 1, Value: (0.450439453125,0.5081787109375,-0.42108154296875, 0.60125732421875)}}
0:00:01.849383 {Acceleration: {Time: 1810, Status: 0, Value: (0.26953125,-0.00390625,-0.083984375)},Gyroscope: {Time: 1819, Status: 3, Value: (0.140625,0.29296875,-1.06640625)},Magnetic: {Time: 1757, Status: 2, Value: (26.1875,-0.3125,-18.0)},Gravity: {Time: 1816, Status: 3, Value: (-9.5625,1.0859375,0.875)}, Rotation: {Time: 1812, Status: 1, Value: (0.4443359375,0.507568359375,-0.42120361328125, 0.606201171875)}}
0:00:01.943130 {Acceleration: {Time: 1897, Status: 0, Value: (0.26171875,-0.11328125,0.14453125)},Gyroscope: {Time: 1903, Status: 3, Value: (0.390625,0.16796875,0.6640625)},Magnetic: {Time: 1905, Status: 2, Value: (26.6875,-1.0,-18.8125)},Gravity: {Time: 1900, Status: 3, Value: (-9.546875,1.171875,0.90625)}, Rotation: {Time: 1907, Status: 1, Value: (0.4525146484375,0.498046875,-0.427490234375, 0.6036376953125)}}
