0:00:00.147004 {Acceleration: {Time: 102, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 61, Status: 3, Value: (-0.0390625,0.00390625,-0.00390625)},Magnetic: {Time: 65, Status: 2, Value: (9.25,-18.5625,-49.75)},Gravity: {Time: 47, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 99, Status: 2, Value: (-0.010498046875,0.0040283203125,0.9810791015625, 0.193359375)}}
0:00:00.269678 {Acceleration: {Time: 218, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 202, Status: 3, Value: (-0.00390625,-0.03125,-0.00390625)},Magnetic: {Time: 205, Status: 2, Value: (9.625,-19.25,-48.1875)},Gravity: {Time: 186, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 212, Status: 2, Value: (-0.010498046875,0.0040283203125,0.9810791015625, 0.1932373046875)}}
0:00:00.378730 {Acceleration: {Time: 336, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 277, Status: 3, Value: (-0.00390625,-0.03125,0.03515625)},Magnetic: {Time: 292, Status: 2, Value: (9.625,-18.5,-47.75)},Gravity: {Time: 274, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 330, Status: 2, Value: (-0.010498046875,0.0040283203125,0.98114013671875, 0.19305419921875)}}
0:00:00.504726 {Acceleration: {Time: 448, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 407, Status: 3, Value: (0.03515625,0.00390625,-0.08203125)},Magnetic: {Time: 411, Status: 2, Value: (7.125,-18.5625,-49.3125)},Gravity: {Time: 392, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 443, Status: 2, Value: (-0.010498046875,0.0040283203125,0.98114013671875, 0.19293212890625)}}
0:00:00.615720 {Acceleration: {Time: 564, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 525, Status: 3, Value: (-0.00390625,-0.0234375,0.03515625)},Magnetic: {Time: 529, Status: 2, Value: (8.5625,-17.5,-48.125)},Gravity: {Time: 522, Status: 3, Value: (-0.2109375,0.0390625,9.7578125)}, Rotation: {Time: 559, Status: 2, Value: (-0.010498046875,0.0040283203125,0.98114013671875, 0.19281005859375)}}
0:00:00.724178 {Acceleration: {Time: 672, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 641, Status: 3, Value: (-0.00390625,-0.03125,0.03515625)},Magnetic: {Time: 643, Status: 2, Value: (7.4375,-17.875,-47.6875)},Gravity: {Time: 677, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 674, Status: 2, Value: (-0.010498046875,0.0040283203125,0.981201171875, 0.192626953125)}}
0:00:00.834670 {Acceleration: {Time: 786, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 746, Status: 3, Value: (-0.00390625,0.00390625,0.03515625)},Magnetic: {Time: 749, Status: 2, Value: (8.25,-18.9375,-50.125)},Gravity: {Time: 742, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 781, Status: 2, Value: (-0.010498046875,0.0040283203125,0.981201171875, 0.19256591796875)}}
0:00:00.943571 {Acceleration: {Time: 887, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 895, Status: 3, Value: (-0.00390625,-0.03125,-0.01171875)},Magnetic: {Time: 829, Status: 2, Value: (8.1875,-18.25,-49.3125)},Gravity: {Time: 892, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 890, Status: 2, Value: (-0.01043701171875,0.0040283203125,0.981201171875, 0.1925048828125)}}
0:00:01.068650 {Acceleration: {Time: 1012, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 974, Status: 3, Value: (-0.00390625,0.00390625,0.02734375)},Magnetic: {Time: 976, Status: 2, Value: (9.25,-18.25,-48.9375)},Gravity: {Time: 1015, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 1007, Status: 2, Value: (-0.01043701171875,0.00408935546875,0.98126220703125, 0.1923828125)}}
0:00:01.179738 {Acceleration: {Time: 1130, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1092, Status: 3, Value: (-0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 1096, Status: 2, Value: (8.1875,-17.875,-48.9375)},Gravity: {Time: 1134, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 1126, Status: 2, Value: (-0.01043701171875,0.00408935546875,0.98126220703125, 0.1922607421875)}}
0:00:01.304328 {Acceleration: {Time: 1256, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1247, Status: 3, Value: (-0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 1250, Status: 2, Value: (8.625,-17.5,-50.1875)},Gravity: {Time: 1244, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 1253, Status: 2, Value: (-0.01043701171875,0.00408935546875,0.9813232421875, 0.192138671875)}}
