0:00:00.120022 {Acceleration: {Time: 96, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 81, Status: 3, Value: (-0.015625,-0.0078125,0.015625)},Magnetic: {Time: 84, Status: 2, Value: (18.4375,14.25,42.75)},Gravity: {Time: 67, Status: 3, Value: (0.3203125,-0.4140625,-10.015625)}, Rotation: {Time: 92, Status: 2, Value: (-0.46771240234375,-0.8834228515625,0.0106201171875, 0.02691650390625)}}
0:00:00.216027 {Acceleration: {Time: 200, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 191, Status: 3, Value: (0.0234375,-0.0078125,-0.01953125)},Magnetic: {Time: 194, Status: 2, Value: (17.3125,15.0,42.375)},Gravity: {Time: 177, Status: 3, Value: (0.3203125,-0.4140625,-10.015625)}, Rotation: {Time: 174, Status: 2, Value: (-0.4676513671875,-0.8834228515625,0.0106201171875, 0.02685546875)}}
0:00:00.344008 {Acceleration: {Time: 329, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 260, Status: 3, Value: (-0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 194, Status: 2, Value: (17.3125,15.0,42.375)},Gravity: {Time: 332, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 325, Status: 2, Value: (-0.4676513671875,-0.8834228515625,0.0106201171875, 0.0267333984375)}}
0:00:00.472002 {Acceleration: {Time: 446, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 417, Status: 3, Value: (-0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 432, Status: 2, Value: (18.0625,14.625,41.5625)},Gravity: {Time: 415, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 449, Status: 2, Value: (-0.4676513671875,-0.8834228515625,0.0106201171875, 0.026611328125)}}
0:00:00.576012 {Acceleration: {Time: 556, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 521, Status: 3, Value: (-0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 525, Status: 2, Value: (16.9375,14.625,41.5625)},Gravity: {Time: 506, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 550, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0264892578125)}}
0:00:00.688002 {Acceleration: {Time: 668, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 657, Status: 3, Value: (0.0234375,-0.0078125,-0.05078125)},Magnetic: {Time: 660, Status: 2, Value: (18.4375,14.9375,41.1875)},Gravity: {Time: 643, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 670, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0263671875)}}
0:00:00.787926 {Acceleration: {Time: 776, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 755, Status: 3, Value: (0.015625,0.03125,0.0234375)},Magnetic: {Time: 769, Status: 2, Value: (16.9375,13.9375,40.8125)},Gravity: {Time: 752, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 749, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02630615234375)}}
0:00:00.907921 {Acceleration: {Time: 892, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 851, Status: 3, Value: (-0.0234375,-0.0078125,-0.01171875)},Magnetic: {Time: 854, Status: 2, Value: (18.8125,15.6875,40.875)},Gravity: {Time: 837, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 888, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0262451171875)}}
0:00:01.019927 {Acceleration: {Time: 1002, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 970, Status: 3, Value: (0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 972, Status: 2, Value: (18.0625,15.0,42.0)},Gravity: {Time: 1007, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 1004, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.026123046875)}}
0:00:01.139950 {Acceleration: {Time: 1126, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1066, Status: 3, Value: (0.0234375,-0.0078125,0.0625)},Magnetic: {Time: 1081, Status: 2, Value: (17.3125,14.625,42.0)},Gravity: {Time: 1063, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 1122, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.0106201171875, 0.02606201171875)}}
0:00:01.259949 {Acceleration: {Time: 1237, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1226, Status: 3, Value: (-0.05078125,0.03125,0.0625)},Magnetic: {Time: 1229, Status: 2, Value: (17.6875,13.5625,41.1875)},Gravity: {Time: 1223, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 1232, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.0106201171875, 0.02593994140625)}}
0:00:01.363926 {Acceleration: {Time: 1343, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1351, Status: 3, Value: (0.0234375,-0.0078125,0.015625)},Magnetic: {Time: 1287, Status: 2, Value: (18.8125,14.9375,41.5625)},Gravity: {Time: 1349, Status: 3, Value: (0.3203125,-0.4140625,-10.015625)}, Rotation: {Time: 1346, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.02587890625)}}
0:00:01.475927 {Acceleration: {Time: 1465, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1399, Status: 3, Value: (-0.015625,-0.0078125,0.015625)},Magnetic: {Time: 1401, Status: 2, Value: (18.4375,14.625,42.0)},Gravity: {Time: 1468, Status: 3, Value: (0.3203125,-0.4140625,-10.015625)}, Rotation: {Time: 1461, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.02581787109375)}}
0:00:01.594475 {Acceleration: {Time: 1580, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1515, Status: 3, Value: (-0.015625,0.03125,0.015625)},Magnetic: {Time: 1519, Status: 2, Value: (16.9375,14.625,42.75)},Gravity: {Time: 1512, Status: 3, Value: (0.3203125,-0.4140625,-10.015625)}, Rotation: {Time: 1582, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.0257568359375)}}
0:00:01.722877 {Acceleration: {Time: 1688, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1666, Status: 3, Value: (0.015625,-0.0078125,0.015625)},Magnetic: {Time: 1682, Status: 2, Value: (17.3125,14.625,42.0)},Gravity: {Time: 1663, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 1661, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.02569580078125)}}
0:00:01.837057 {Acceleration: {Time: 1804, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1777, Status: 3, Value: (0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 1792, Status: 2, Value: (16.5625,14.625,41.5625)},Gravity: {Time: 1774, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 1808, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.025634765625)}}
0:00:01.942388 {Acceleration: {Time: 1918, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 1912, Status: 3, Value: (0.015625,0.03125,-0.01953125)},Magnetic: {Time: 1915, Status: 2, Value: (17.3125,14.5625,40.8125)},Gravity: {Time: 1909, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 1920, Status: 2, Value: (-0.46759033203125,-0.88348388671875,0.01068115234375, 0.02557373046875)}}
